date,Red1a,Red1b,Red2a,Red2d,Red3a,Red3b,Red4a,Red4b,Red5a,Red5b,Red6a,Red6b,RedSum16a,RedSum16b,RedGap16a,RedGap16b,RedSum25a,RedSum25b,RedGap25a,RedGap25b,RedSum34a,RedSum34b,RedGap12a,RedGap12b,RedGap23a,RedGap23b,RedGap34a,RedGap34b,RedGap45a,RedGap45b,RedGap56a,RedGap56b,RedSum_a,RedSum_b,RedBluea,RedBlueb
20250105,0/2, 0/3,1/11, 1/3,1/6, 1/12,0/5, 0/0,1/10, 1/0,0/7, 1/3,1/1, 1/7,0/7, 0/9,1/12, 0/2,0/9, 1/9,0/2, 1/24,1/5, 1/4,1/13, 1/8,1/8, 1/9,0/2, 0/0,0/3, 1/10,0/16, 0/4,0/5, 1/7
20250102,1/2, 0/4,0/2, 1/8,0/1, 1/5,0/3, 1/3,0/5, 0/0,0/3, 0/2,1/5, 1/8,0/1, 1/10,0/3, 0/12,0/4, 1/3,1/3, 1/7,0/1, 0/5,0/1, 0/3,0/5, 0/1,1/5, 0/8,0/2, 0/2,0/3, 1/37,0/7, 0/8
20241231,1/7, 0/1,1/9, 1/1,0/5, 1/7,1/4, 1/2,0/1, 0/3,1/4, 1/8,0/5, 0/12,0/11, 1/4,1/5, 1/11,0/5, 1/3,1/10, 1/8,0/7, 0/0,1/2, 1/4,0/6, 1/5,0/2, 1/8,1/4, 1/5,1/25, 0/9,0/8, 1/7
20241229,0/2, 0/7,0/2, 0/3,0/2, 0/4,1/3, 1/10,1/7, 0/0,0/3, 1/9,0/7, 0/11,1/5, 1/1,1/5, 1/15,1/7, 1/10,0/1, 0/4,0/1, 1/10,0/3, 1/7,0/5, 1/7,0/5, 1/1,0/1, 0/3,0/14, 1/11,1/11, 1/0
20241226,1/4, 1/1,1/6, 1/7,0/1, 1/9,0/3, 1/10,0/3, 0/8,1/2, 1/4,0/3, 1/14,0/7, 0/3,0/7, 0/6,0/2, 0/9,1/7, 1/11,1/6, 1/6,1/8, 1/4,1/5, 1/2,0/2, 1/5,0/3, 1/7,0/26, 0/5,0/7, 0/5
20241224,0/3, 0/1,0/2, 0/2,1/3, 1/6,1/2, 1/8,0/5, 1/6,0/3, 1/9,0/1, 1/15,0/2, 0/1,0/3, 0/2,0/5, 1/8,1/8, 1/2,0/2, 0/1,0/5, 0/2,0/1, 0/5,1/1, 1/12,1/10, 1/2,0/10, 0/11,0/10, 1/9
20241222,0/1, 0/4,0/4, 1/8,1/4, 1/8,0/5, 1/10,1/7, 1/8,1/8, 0/4,0/3, 0/12,1/12, 1/3,1/2, 1/10,0/7, 1/13,0/4, 0/5,1/3, 1/7,0/5, 0/0,1/4, 0/11,1/1, 1/3,0/1, 0/2,0/4, 1/36,1/16, 1/2
20241219,1/4, 1/1,0/4, 1/5,0/2, 0/2,1/7, 1/0,0/1, 0/4,0/2, 0/3,0/3, 1/4,0/5, 0/1,0/8, 1/17,0/2, 0/13,1/7, 1/4,1/6, 1/0,0/3, 1/11,0/3, 0/4,1/7, 1/9,0/3, 1/9,1/17, 1/3,0/5, 1/14
20241217,0/4, 0/4,0/1, 0/5,1/7, 1/10,0/2, 0/2,1/5, 1/9,1/2, 1/2,1/2, 1/7,1/2, 1/6,0/9, 0/12,0/3, 0/4,0/10, 1/3,0/1, 0/5,0/6, 0/4,1/4, 1/2,0/1, 0/6,0/7, 1/5,1/24, 1/22,0/4, 1/5
20241215,1/3, 1/2,0/11, 1/8,1/4, 0/3,0/3, 0/2,0/5, 1/8,1/5, 1/5,0/2, 0/3,0/7, 1/10,0/3, 0/10,1/10, 1/3,0/8, 0/15,1/6, 1/9,0/2, 0/3,0/6, 0/2,0/2, 1/8,0/2, 0/3,0/12, 0/22,0/3, 1/11
20241212,0/2, 0/5,0/4, 1/6,0/8, 0/4,0/1, 1/7,1/6, 1/5,1/7, 1/0,1/8, 0/6,0/5, 1/5,1/10, 1/14,0/9, 0/0,0/11, 1/15,0/5, 1/11,0/3, 1/1,0/5, 0/7,0/5, 0/2,1/1, 1/2,0/24, 1/37,0/1, 1/9
20241210,0/5, 1/5,0/10, 1/10,0/4, 1/14,1/14, 1/4,0/3, 0/2,0/3, 0/3,0/4, 1/9,0/4, 0/2,1/19, 1/12,1/7, 0/8,0/11, 0/7,0/6, 1/7,0/1, 1/10,1/3, 1/9,1/4, 1/6,1/5, 1/1,0/17, 1/49,1/4, 1/9
20241208,0/1, 0/2,0/8, 0/1,1/6, 1/8,0/6, 0/7,1/9, 1/3,0/4, 0/0,1/5, 1/5,1/6, 1/0,1/15, 1/3,0/2, 0/9,0/13, 0/11,0/4, 1/9,0/7, 0/3,0/4, 1/9,0/2, 0/1,0/1, 1/6,0/13, 0/32,0/4, 1/14
20241205,0/5, 1/1,0/3, 1/12,0/7, 0/6,0/2, 0/8,0/5, 0/3,0/1, 0/1,1/11, 0/10,0/5, 1/13,0/7, 0/1,0/5, 1/15,0/7, 0/3,1/6, 0/5,0/4, 0/1,0/4, 1/6,1/6, 0/6,1/5, 1/4,0/21, 0/7,0/6, 1/11
20241203,0/2, 0/1,0/1, 0/7,0/3, 0/4,0/2, 0/7,1/5, 1/2,1/2, 1/2,0/4, 0/1,0/2, 0/2,0/1, 0/8,1/7, 1/9,0/9, 0/4,0/4, 1/8,1/2, 1/4,0/2, 1/10,0/2, 1/10,1/4, 1/9,0/20, 0/0,1/7, 1/2
20241201,0/2, 1/3,0/2, 1/5,1/5, 1/3,0/2, 0/1,0/5, 0/0,0/3, 1/2,0/2, 1/4,0/5, 1/3,1/4, 1/9,0/2, 0/4,0/2, 0/3,0/2, 1/8,0/4, 1/5,0/2, 0/4,1/3, 1/1,0/4, 1/9,1/5, 1/6,0/8, 1/7
20241128,1/2, 1/3,0/5, 1/4,0/1, 0/5,1/4, 1/4,0/4, 1/8,1/6, 1/0,1/3, 1/3,0/3, 0/1,1/4, 1/11,0/2, 1/6,0/7, 1/21,1/6, 1/3,0/2, 0/1,0/6, 1/6,0/2, 0/4,0/4, 1/8,0/7, 1/11,0/6, 0/0
20241126,0/2, 1/6,1/3, 1/3,0/2, 1/11,0/1, 1/9,0/5, 1/10,1/9, 0/6,1/7, 1/4,0/1, 0/9,0/7, 1/16,1/7, 1/1,0/4, 0/12,0/2, 0/6,0/2, 1/6,0/2, 1/11,1/7, 0/0,0/7, 1/4,0/27, 1/27,1/8, 1/8
20241124,0/5, 1/4,0/6, 0/7,0/2, 0/2,0/4, 1/7,1/8, 1/7,1/7, 1/7,0/11, 1/1,0/9, 0/2,1/17, 1/8,0/1, 1/12,0/1, 1/14,0/3, 1/4,1/8, 1/1,1/6, 1/6,0/5, 0/0,0/3, 0/2,1/23, 1/32,0/3, 1/13
20241121,1/4, 1/9,0/3, 0/1,1/3, 1/1,1/7, 1/9,0/11, 1/5,0/7, 0/7,0/5, 0/7,0/6, 1/13,1/15, 1/6,0/4, 1/5,1/10, 1/15,0/4, 1/7,0/1, 0/4,0/6, 1/8,0/5, 1/6,0/2, 1/3,1/32, 1/23,0/9, 0/1
20241119,1/2, 1/8,1/5, 0/9,1/7, 0/8,1/13, 1/3,0/5, 0/7,0/3, 1/11,1/4, 1/12,0/6, 0/8,0/3, 0/4,0/5, 0/5,0/17, 1/20,0/2, 0/2,1/4, 1/7,0/4, 0/2,1/6, 0/6,0/1, 1/6,0/22, 1/30,0/9, 1/8
20241117,0/1, 1/7,0/4, 0/2,0/2, 0/6,0/7, 0/7,0/5, 1/8,1/5, 1/5,1/7, 1/7,0/2, 0/2,1/11, 1/8,0/2, 1/9,0/14, 0/0,1/4, 1/12,0/1, 0/5,0/3, 0/3,0/2, 0/4,1/8, 1/7,0/17, 0/9,0/3, 1/13
20241114,0/2, 1/8,0/2, 1/7,0/2, 1/4,0/2, 1/11,0/10, 1/3,0/3, 0/4,0/4, 1/9,0/2, 1/5,0/6, 0/2,1/8, 1/2,0/1, 0/9,0/2, 1/8,1/4, 1/9,0/2, 1/3,1/6, 1/0,0/2, 0/5,1/28, 0/0,0/8, 0/1
20241112,0/3, 1/9,1/4, 1/13,1/4, 1/5,0/2, 1/6,0/4, 0/8,0/9, 1/5,0/6, 1/15,0/1, 0/3,0/5, 1/4,0/2, 0/1,1/8, 1/18,0/3, 1/10,1/4, 1/4,1/3, 0/5,0/3, 1/11,0/3, 1/9,0/11, 0/43,0/7, 0/0
20241110,0/3, 0/7,0/2, 0/4,1/6, 1/5,0/5, 1/13,0/2, 1/12,0/2, 0/4,0/2, 0/4,0/2, 1/8,0/3, 0/15,1/2, 1/6,0/7, 1/19,0/5, 1/5,1/4, 1/3,1/6, 1/4,1/7, 1/0,0/2, 1/6,0/4, 0/15,0/5, 1/15
20241107,0/4, 1/5,1/4, 1/9,1/2, 1/9,0/2, 1/11,1/8, 0/2,0/8, 1/7,0/7, 1/8,0/5, 1/13,0/3, 1/13,1/12, 1/11,1/6, 1/3,0/1, 0/3,1/5, 1/3,1/3, 1/6,1/7, 1/5,0/1, 1/4,0/10, 1/38,0/4, 0/2
20241105,1/4, 1/12,0/7, 1/4,1/3, 0/6,0/5, 1/11,0/5, 1/10,1/8, 1/6,0/8, 0/5,0/3, 0/3,1/8, 0/3,0/7, 0/12,0/10, 0/5,0/1, 0/2,0/2, 0/3,0/3, 1/8,0/2, 1/6,0/2, 1/9,1/23, 0/7,1/2, 1/12
20241103,0/4, 0/8,0/8, 0/0,0/4, 0/3,0/3, 0/2,1/3, 1/7,0/1, 0/8,0/2, 0/3,1/12, 0/3,0/4, 0/2,1/10, 1/8,0/3, 0/9,1/2, 1/7,0/4, 0/6,0/2, 0/1,0/5, 1/8,0/1, 0/3,0/17, 0/21,1/8, 1/6
20241031,1/7, 1/5,0/4, 0/4,0/2, 1/5,1/6, 1/2,1/3, 1/8,1/2, 1/6,0/3, 0/4,1/9, 1/1,0/4, 1/10,0/6, 0/12,0/7, 1/10,1/3, 1/13,0/4, 1/10,0/3, 1/9,1/5, 1/1,1/2, 1/0,0/5, 0/19,0/2, 1/6
20241029,1/7, 1/9,0/1, 1/8,0/12, 1/2,0/8, 1/8,1/8, 0/6,0/4, 1/5,0/2, 0/4,1/18, 1/1,0/8, 1/14,0/1, 1/6,0/6, 1/19,0/5, 1/11,0/3, 0/3,0/2, 0/0,0/1, 0/4,1/3, 1/2,0/19, 0/7,0/5, 0/10
20241027,0/1, 0/6,0/9, 0/2,0/7, 1/12,1/10, 0/8,1/4, 1/13,0/2, 1/5,0/1, 1/8,0/1, 0/13,0/11, 1/19,0/3, 1/4,0/5, 1/24,0/10, 1/7,1/6, 1/2,1/4, 1/3,1/4, 0/7,0/4, 1/10,0/13, 1/55,1/6, 1/8
20241024,1/9, 0/5,1/5, 1/11,1/9, 1/5,0/7, 1/11,0/1, 0/3,0/2, 1/7,1/1, 1/10,0/7, 1/5,0/3, 0/12,0/13, 0/2,0/17, 1/15,0/2, 0/6,0/2, 1/4,0/2, 1/4,1/5, 1/3,0/2, 0/6,0/18, 0/30,0/7, 1/10
20241022,1/13, 1/3,1/13, 0/6,0/4, 1/12,0/7, 1/15,0/4, 1/12,1/4, 1/2,0/11, 0/3,0/10, 1/4,1/14, 1/16,0/3, 1/12,0/15, 1/19,1/3, 1/8,1/2, 1/3,0/1, 1/3,0/4, 0/3,1/3, 1/6,0/7, 1/80,0/2, 1/13
20241020,0/9, 1/3,0/4, 0/8,0/5, 0/8,0/6, 0/10,0/6, 0/5,0/2, 0/4,0/6, 0/8,0/6, 0/9,0/1, 0/4,0/7, 1/12,0/7, 0/25,0/3, 1/4,0/8, 1/13,0/1, 1/6,1/4, 1/3,1/3, 1/2,0/11, 0/26,1/4, 1/14
20241017,1/8, 1/5,0/6, 0/5,0/9, 0/2,0/4, 0/3,1/7, 1/1,1/4, 0/2,1/9, 1/4,0/6, 1/13,1/12, 1/2,0/7, 0/0,0/15, 0/4,1/9, 0/7,0/3, 0/3,0/1, 0/7,1/3, 1/1,0/2, 1/9,1/24, 1/14,1/6, 1/9
20241015,0/2, 1/5,0/3, 1/8,0/1, 0/6,0/3, 0/4,0/6, 0/12,0/8, 0/4,0/8, 0/6,0/5, 0/2,0/7, 0/2,0/6, 0/2,0/5, 0/10,0/3, 1/9,0/4, 0/1,0/3, 1/9,0/9, 1/8,0/5, 1/7,0/7, 0/23,0/3, 0/9
20241013,1/9, 1/3,0/6, 1/6,1/10, 0/3,0/1, 1/12,1/9, 1/8,1/4, 1/7,0/3, 1/6,0/10, 1/1,0/14, 1/8,0/3, 1/6,1/13, 1/11,0/8, 1/9,0/1, 1/8,0/3, 1/11,0/5, 0/6,1/5, 1/8,1/20, 1/11,0/2, 1/7
20241010,0/5, 0/6,0/2, 1/11,0/6, 0/3,0/2, 0/3,0/2, 0/11,0/1, 0/4,0/3, 1/11,0/6, 0/0,0/1, 0/7,0/9, 1/4,0/3, 1/12,0/5, 0/3,1/7, 1/0,0/3, 1/3,1/8, 1/1,1/7, 1/0,0/2, 0/12,0/2, 0/4
20241008,0/2, 1/4,1/2, 1/2,1/7, 1/8,1/4, 1/10,1/7, 1/5,1/5, 1/8,0/7, 1/4,0/1, 0/1,1/6, 1/8,0/2, 1/4,1/16, 1/10,0/2, 1/6,0/4, 1/6,0/1, 1/12,0/1, 1/7,0/5, 1/8,1/19, 1/28,0/3, 1/6
20241006,0/5, 1/5,0/6, 0/6,0/6, 0/0,0/3, 1/11,0/6, 1/8,0/2, 0/4,1/6, 1/5,0/3, 0/11,1/3, 0/7,0/7, 0/3,0/5, 0/4,0/2, 1/6,0/9, 0/1,0/9, 1/4,1/3, 1/11,1/1, 1/11,0/12, 0/12,0/7, 0/7
20240929,0/3, 1/2,0/3, 0/2,0/1, 0/9,1/12, 1/3,1/4, 1/10,1/4, 1/7,0/7, 1/5,0/1, 0/4,1/11, 1/8,0/5, 1/10,0/9, 0/12,0/2, 1/9,0/1, 0/6,1/5, 1/7,0/4, 0/3,0/2, 0/4,0/3, 1/42,0/5, 1/9
20240926,1/8, 1/5,1/10, 1/6,1/6, 1/1,1/10, 1/6,0/5, 1/6,0/1, 0/3,0/7, 1/9,0/3, 1/15,0/14, 0/3,1/3, 1/10,0/11, 1/11,1/5, 1/4,1/4, 0/5,0/4, 1/7,0/5, 1/6,0/3, 1/8,0/24, 1/33,1/7, 1/9
20240924,0/1, 0/5,0/3, 1/8,0/2, 1/7,1/8, 1/9,0/1, 1/18,0/13, 1/3,0/3, 1/4,0/3, 0/4,0/1, 0/8,0/3, 0/1,0/8, 1/18,1/5, 0/7,0/3, 0/1,0/3, 1/6,0/4, 1/9,1/7, 1/6,0/1, 0/34,0/4, 0/7
20240922,1/4, 1/5,1/10, 0/8,1/11, 1/4,1/6, 1/7,0/2, 0/9,1/4, 1/3,0/1, 1/9,1/15, 1/3,0/3, 1/20,1/8, 1/12,1/19, 1/11,0/5, 1/7,0/3, 1/21,0/2, 1/2,1/9, 1/0,0/2, 1/6,1/15, 1/50,0/2, 0/6
20240919,0/5, 0/3,0/10, 0/6,0/4, 1/12,0/2, 0/2,0/5, 0/0,0/1, 1/5,0/6, 1/5,1/6, 1/14,1/10, 1/9,0/4, 0/3,0/10, 0/10,0/2, 0/2,0/4, 0/8,1/3, 0/5,1/8, 1/6,1/5, 0/4,0/28, 0/23,0/2, 1/14
20240917,1/8, 1/0,1/8, 1/4,1/7, 1/4,1/7, 1/3,0/4, 1/6,1/4, 1/13,0/20, 1/9,1/10, 1/5,0/15, 1/8,1/7, 1/7,1/19, 0/6,0/3, 1/8,1/5, 1/2,0/5, 0/0,0/1, 0/5,0/3, 1/8,0/28, 1/59,0/1, 1/3
20240915,0/1, 1/9,0/1, 1/6,0/1, 0/9,0/5, 1/10,1/15, 1/7,0/6, 1/11,0/6, 0/15,0/3, 0/12,0/7, 1/17,0/2, 1/17,0/3, 1/14,1/3, 1/8,0/2, 0/1,1/7, 0/4,1/6, 0/5,1/8, 1/1,0/13, 0/22,0/2, 1/9
20240912,1/3, 1/1,1/6, 1/5,1/4, 1/11,0/2, 0/3,0/8, 0/2,0/5, 1/8,0/3, 0/8,0/5, 0/7,0/6, 1/13,1/11, 1/8,0/10, 1/11,0/1, 1/9,0/4, 1/3,0/5, 1/8,0/6, 0/2,0/1, 0/3,0/9, 0/21,0/5, 1/8
20240910,0/3, 1/7,1/5, 0/7,0/5, 1/14,1/6, 1/11,0/1, 0/4,0/4, 0/4,0/5, 1/3,0/3, 1/5,1/8, 1/12,0/7, 0/6,0/9, 1/18,0/3, 1/9,0/5, 0/2,0/3, 1/11,0/9, 1/6,1/2, 0/10,0/16, 1/32,0/5, 1/5
20240908,0/3, 1/13,0/7, 0/3,0/5, 0/6,0/3, 0/4,0/8, 1/8,1/5, 1/7,0/10, 1/12,0/7, 0/6,0/9, 0/4,0/7, 1/7,0/4, 0/11,0/3, 0/3,0/3, 1/3,0/2, 0/5,0/2, 1/6,1/7, 0/5,0/13, 0/14,0/2, 1/13
20240905,0/8, 0/4,0/6, 0/6,0/4, 1/6,0/4, 0/4,0/1, 0/8,0/5, 1/6,0/2, 0/2,0/13, 0/7,0/13, 0/2,0/7, 1/12,0/9, 0/7,0/2, 0/0,0/7, 1/6,1/3, 1/1,0/5, 0/4,0/3, 0/2,0/10, 0/15,0/2, 1/7
20240903,1/4, 1/7,0/6, 0/3,0/1, 0/3,1/5, 1/4,1/9, 1/0,0/1, 0/4,0/8, 1/5,0/8, 0/1,0/2, 0/8,0/3, 0/5,0/1, 0/7,1/3, 1/4,1/1, 1/4,0/2, 1/3,0/6, 1/6,0/8, 1/8,0/7, 1/9,0/2, 0/5
20240901,0/7, 1/5,0/2, 1/4,0/2, 1/15,0/5, 1/10,0/5, 1/9,1/2, 1/9,1/11, 1/7,0/6, 1/10,1/5, 1/6,0/1, 0/4,0/7, 1/5,1/11, 1/4,0/2, 1/1,1/4, 1/1,0/6, 1/4,0/4, 1/9,0/18, 1/62,1/1, 1/10
20240829,0/3, 0/6,0/5, 1/6,0/5, 0/9,0/10, 1/8,0/4, 1/11,1/6, 1/0,0/11, 1/2,0/1, 0/11,1/12, 0/15,0/1, 1/8,1/13, 1/19,0/3, 0/3,1/1, 1/3,1/5, 1/3,0/3, 1/7,1/6, 1/13,0/15, 1/74,0/3, 1/12
20240827,0/1, 1/7,0/3, 1/13,1/7, 1/3,0/2, 1/15,1/12, 1/2,0/1, 1/5,0/1, 0/16,0/3, 0/11,1/3, 1/11,0/5, 1/13,0/6, 1/32,0/2, 1/4,1/3, 1/2,0/3, 0/5,1/5, 1/5,0/9, 1/3,1/17, 1/62,0/7, 0/8
20240825,0/4, 0/3,1/2, 0/15,0/6, 0/2,0/3, 0/7,0/6, 1/3,0/1, 1/4,1/5, 1/8,0/2, 1/5,0/15, 0/0,1/13, 1/4,0/4, 0/12,1/3, 0/6,1/5, 1/7,0/4, 0/2,0/2, 0/5,1/5, 1/9,0/36, 0/0,1/12, 1/1
20240822,1/3, 1/8,0/4, 1/9,0/2, 0/3,0/2, 1/9,0/2, 1/10,0/2, 1/6,1/5, 1/9,0/1, 1/11,1/2, 1/17,0/4, 0/1,0/3, 0/9,0/4, 0/0,0/4, 1/9,0/2, 0/4,1/1, 1/8,0/2, 0/4,1/14, 1/21,0/5, 0/3
20240820,0/3, 1/6,0/3, 1/10,1/6, 1/9,1/5, 1/11,0/5, 0/4,0/3, 0/3,0/4, 0/7,0/6, 0/6,0/11, 1/10,0/5, 0/2,1/8, 0/6,1/3, 1/7,0/2, 1/7,0/1, 1/3,1/3, 1/6,0/1, 1/12,0/9, 0/18,0/3, 1/9
20240818,0/1, 1/6,0/3, 0/3,0/2, 0/4,0/4, 0/2,0/4, 0/4,0/1, 0/4,0/3, 0/6,0/1, 0/2,0/5, 0/3,0/4, 1/13,0/8, 0/9,1/6, 1/1,0/1, 0/2,0/2, 1/3,0/3, 1/4,0/3, 1/9,0/2, 0/18,0/4, 1/13
20240815,1/9, 1/2,0/5, 1/6,0/6, 0/8,0/3, 1/6,1/4, 1/5,1/7, 1/3,0/5, 0/4,0/7, 1/13,0/10, 1/7,0/8, 1/11,0/14, 0/11,0/2, 0/3,0/6, 1/1,1/3, 1/6,1/3, 1/9,0/1, 1/4,1/27, 0/9,0/4, 1/11
20240813,0/2, 1/4,0/3, 1/4,1/12, 1/9,1/4, 0/13,0/4, 0/12,0/2, 0/4,0/3, 0/10,0/1, 0/9,0/11, 0/5,0/6, 0/11,1/7, 1/26,0/2, 1/2,1/9, 1/4,1/7, 1/1,0/4, 1/6,1/7, 1/8,0/23, 0/0,0/2, 1/6
20240811,1/5, 1/11,1/9, 0/5,0/1, 0/6,0/1, 0/7,0/5, 1/10,1/3, 1/9,1/9, 1/6,1/14, 1/9,0/2, 1/12,0/5, 1/13,0/4, 0/8,1/3, 1/2,0/9, 1/6,0/2, 1/3,0/3, 0/2,0/2, 0/2,0/5, 0/22,1/7, 1/6
20240808,0/3, 0/1,0/4, 0/2,1/4, 0/11,1/5, 1/4,0/2, 1/15,0/4, 0/4,1/7, 1/8,0/2, 0/6,1/8, 0/6,0/5, 0/7,1/10, 1/18,0/2, 1/3,0/1, 1/7,0/2, 1/5,0/3, 1/11,0/3, 1/7,1/25, 1/6,0/7, 1/6
