Date,P1,P2,P3,P4,P5,P6,P7
20170305,3,0,2,1,2,19,-1
20170307,1,1,2,1,1,23,3
20170309,1,2,1,1,2,3,1
20170312,3,1,3,1,0,0,-1
20170314,1,0,0,1,0,6,4
20170316,0,2,1,1,2,38,6
20170319,3,2,2,1,1,78,9
20170321,2,2,2,2,1,107,-1
20170323,1,1,2,3,2,2,9
20170326,2,1,2,2,1,33,5
20170328,1,2,1,1,1,9,3
20170330,0,1,2,0,0,42,-1
20170402,0,0,2,1,1,20,7
20170404,1,2,2,1,1,11,1
20170406,3,5,2,3,2,115,-1
20170409,2,1,0,0,2,125,-1
20170411,1,1,1,1,1,29,-1
20170413,2,2,0,0,2,0,-1
20170416,0,0,1,0,2,7,-1
20170418,0,1,1,1,2,35,8
20170420,0,1,1,1,0,23,2
20170423,3,1,1,2,1,27,-1
20170425,1,2,3,1,1,1,-1
20170427,3,1,4,3,3,0,-1
20170430,2,2,2,3,1,17,-1
20170502,3,2,2,3,3,11,-1
20170504,3,2,1,3,2,40,-1
20170507,2,2,2,1,1,18,5
20170509,3,3,3,2,1,95,-1
20170511,2,1,2,2,2,5,-1
20170514,3,1,0,2,1,37,-1
20170516,1,2,2,1,1,18,1
20170518,0,0,0,0,1,53,-1
20170521,2,1,1,3,2,25,9
20170523,1,2,2,4,1,0,-1
20170525,1,1,2,1,2,4,1
20170528,1,1,2,1,2,1,1
20170530,0,0,0,0,0,5,-1
20170601,1,1,1,1,0,19,8
20170604,1,1,2,1,0,1,8
20170606,2,2,2,1,1,13,5
20170608,1,1,1,1,3,25,-1
20170611,2,3,4,1,1,51,-1
20170613,2,0,0,0,0,6,-1
20170615,1,0,1,0,1,24,2
20170618,1,2,0,2,1,40,6
20170620,1,1,1,2,0,7,8
20170622,1,1,1,2,2,11,1
20170625,2,2,2,1,3,19,-1
20170627,1,1,0,1,0,5,2
20170629,1,1,1,1,2,40,3
20170702,5,4,2,3,5,0,-1
20170704,3,1,1,1,1,11,-1
20170706,1,1,2,2,2,13,5
20170709,1,0,1,2,2,9,6
20170711,0,0,2,1,0,37,-1
20170713,2,3,1,1,1,34,-1
20170716,0,1,1,3,1,99,-1
20170718,3,3,2,1,2,32,-1
20170720,1,1,1,1,2,9,3
20170723,2,2,1,2,1,7,5
20170725,2,2,2,3,1,13,-1
20170727,1,1,1,2,1,3,3
20170730,2,3,3,1,3,35,-1
20170801,1,0,0,0,0,21,-1
20170803,0,0,0,0,1,1,-1
20170806,2,2,0,1,1,12,6
20170808,1,3,2,2,2,6,-1
20170810,2,2,2,2,1,1,-1
20170813,3,0,1,3,2,79,-1
20170815,1,2,1,1,2,23,1
20170817,1,1,1,2,1,9,3
20170820,1,1,2,1,2,2,1
20170822,2,1,2,1,2,13,5
20170824,1,2,2,1,1,2,1
20170827,2,2,1,2,1,2,5
20170829,1,1,0,0,0,72,4
20170831,1,0,2,1,2,11,6
20170903,1,1,0,0,0,2,4
20170905,1,0,3,2,1,49,-1
20170907,2,2,2,1,0,80,-1
20170910,0,2,1,2,0,66,-1
20170912,0,0,1,1,1,33,2
20170914,2,2,2,3,1,15,-1
20170917,1,1,0,2,1,38,8
20170919,3,2,3,3,1,22,-1
20170921,2,1,1,2,2,11,5
20170924,1,0,0,1,0,9,4
20170926,3,1,3,1,3,143,-1
20170928,0,0,1,1,1,7,2
20171001,1,2,1,1,1,19,3
20171003,1,1,0,2,3,12,-1
20171005,2,1,2,2,0,12,-1
20171008,1,1,0,2,2,16,6
20171010,2,3,1,1,1,38,-1
20171012,1,1,0,1,2,11,8
20171015,0,0,0,1,1,9,4
20171017,0,2,2,0,1,16,-1
20171019,2,2,2,0,3,124,-1
20171022,2,3,3,2,0,0,-1
20171024,2,2,1,2,1,14,5
20171026,1,0,0,1,0,5,4
20171029,1,0,1,0,1,13,2
20171031,0,0,0,0,1,38,-1
20171102,2,1,2,1,2,4,5
20171105,2,2,1,1,1,31,1
20171107,2,0,0,0,1,51,-1
20171109,1,2,2,1,1,2,1
20171112,0,0,0,0,1,5,-1
20171114,1,2,2,4,1,75,-1
20171116,1,0,0,0,0,2,-1
20171119,1,2,3,2,3,53,-1
20171121,2,2,1,1,1,5,1
20171123,0,1,0,0,1,12,4
20171126,1,1,2,1,2,2,1
20171128,0,0,1,1,0,2,4
20171130,1,1,1,1,0,21,8
20171203,1,1,2,2,1,3,1
20171205,2,3,1,3,2,7,-1
20171207,2,1,1,2,1,2,1
20171210,1,0,1,1,1,4,8
20171212,1,1,1,1,0,1,8
20171214,2,1,3,2,2,39,-1
20171217,1,0,2,1,2,30,6
20171219,2,1,1,1,2,5,1
20171221,2,1,2,0,2,33,-1
20171224,3,2,2,2,3,218,-1
20171226,0,2,0,1,0,21,-1
20171228,2,1,2,1,1,4,1
20171231,0,1,1,1,2,8,8
20180102,1,0,0,1,0,15,4
20180104,2,2,2,2,1,9,-1
20180107,1,0,1,0,1,30,2
20180109,0,2,2,2,0,116,-1
20180111,2,2,2,2,1,3,-1
20180114,2,2,2,2,1,1,-1
20180116,0,1,0,1,3,0,-1
20180118,2,3,2,3,2,11,-1
20180121,0,0,1,1,0,8,4
20180123,0,2,2,0,1,42,-1
20180125,2,1,2,1,2,36,5
20180128,2,1,2,2,1,1,5
20180130,2,0,0,1,1,130,7
20180201,2,2,2,3,3,6,-1
20180204,1,0,0,0,1,6,4
20180206,1,2,2,0,1,22,6
20180208,0,0,1,0,1,2,4
20180211,0,0,1,2,2,8,-1
20180213,2,0,2,0,2,15,-1
20180222,2,1,3,1,3,107,-1
20180225,2,1,1,0,3,59,-1
20180227,2,1,1,1,2,23,1
20180301,2,2,1,0,2,27,-1
20180304,1,2,2,1,1,2,1
20180306,2,1,1,2,2,13,5
20180308,2,1,2,2,2,20,-1
20180311,2,2,0,0,2,8,-1
20180313,2,1,2,1,2,3,5
20180315,2,2,0,1,1,13,6
20180318,3,2,1,1,2,126,9
20180320,0,1,0,2,0,33,-1
20180322,2,1,2,1,1,8,1
20180325,3,2,2,1,1,3,9
20180327,0,0,1,1,0,17,4
20180329,0,1,0,1,1,32,2
20180401,0,1,1,1,0,1,2
20180403,0,2,1,1,1,37,8
20180405,3,2,3,3,1,82,-1
20180408,0,2,0,0,1,8,-1
20180410,0,0,0,1,1,6,4
20180412,0,1,0,0,1,1,4
20180415,2,1,3,3,1,22,-1
20180417,1,2,2,2,1,15,5
20180419,2,0,1,1,1,7,8
20180422,2,1,1,1,1,84,3
20180424,4,2,3,2,2,32,-1
20180426,2,0,1,1,2,18,6
20180429,2,1,0,0,0,9,-1
20180501,1,2,0,0,1,36,7
20180503,1,2,1,2,1,18,1
20180506,2,2,1,2,1,8,5
20180508,4,2,1,0,2,29,-1
20180510,3,2,2,2,4,7,-1
20180513,2,1,1,1,1,9,3
20180515,0,3,0,1,1,48,-1
20180517,0,0,1,1,1,20,2
20180520,1,1,3,3,2,15,-1
20180522,1,1,1,2,1,4,3
20180524,2,1,2,3,2,33,-1
20180527,1,2,2,3,2,1,-1
20180529,1,1,1,0,1,17,8
20180531,1,1,2,1,2,12,1
20180603,1,0,0,0,0,82,-1
20180605,1,1,0,1,1,3,8
20180607,1,1,1,1,2,7,3
20180610,1,0,0,1,1,10,2
20180612,1,1,2,1,2,5,1
20180614,0,2,1,1,3,47,-1
20180617,1,1,0,0,1,3,2
20180619,2,1,1,1,2,3,1
20180621,1,4,3,2,3,33,-1
20180624,2,0,2,1,3,20,-1
20180626,0,2,2,1,1,26,6
20180628,1,2,2,1,2,23,5
20180701,2,0,3,2,1,3,-1
20180703,4,2,2,1,1,96,-1
20180705,3,3,2,2,1,88,-1
20180708,2,2,2,2,0,109,-1
20180710,1,1,1,2,2,9,1
20180712,1,1,2,2,2,6,5
20180715,3,1,2,1,0,13,-1
20180717,4,2,2,2,2,318,-1
20180719,2,2,1,1,0,10,6
20180722,4,2,3,2,2,31,-1
20180724,2,2,1,2,2,25,-1
20180726,0,0,0,0,0,23,-1
20180729,2,1,1,1,0,23,8
20180731,1,2,2,2,1,8,5
20180802,2,3,2,2,3,5,-1
20180805,1,2,3,3,2,13,-1
20180807,1,1,0,2,2,8,6
20180809,1,2,2,2,3,7,-1
20180812,2,2,3,3,2,4,-1
20180814,3,2,1,3,2,4,-1
20180816,0,1,1,0,0,54,4
20180819,1,2,3,1,2,63,9
20180821,0,1,0,1,1,28,2
20180823,1,0,1,2,2,7,6
20180826,1,2,2,2,2,7,-1
20180828,1,1,1,2,1,35,3
20180830,1,1,2,0,0,52,7
20180902,2,1,3,1,1,137,-1
20180904,3,1,1,2,1,1,-1
20180906,1,1,2,1,2,25,1
20180909,3,4,2,3,1,34,-1
20180911,2,2,2,2,3,24,-1
20180913,2,1,1,1,1,7,3
20180916,2,2,2,1,2,9,-1
20180918,1,1,2,1,1,2,3
20180920,1,1,1,0,0,13,2
20180923,2,3,1,2,1,15,9
20180925,1,1,1,1,0,25,8
20180927,2,2,3,1,3,19,-1
20180930,1,1,0,2,1,2,8
20181002,1,1,1,3,2,12,-1
20181004,1,0,0,1,0,21,4
20181007,1,1,1,1,1,194,-1
20181009,1,1,1,1,0,4,8
20181011,1,1,2,0,1,1,8
20181014,1,2,2,2,2,12,-1
20181016,1,1,1,0,0,11,2
20181018,1,1,1,1,1,5,-1
20181021,0,1,0,1,1,2,2
20181023,2,2,3,1,2,4,-1
20181025,2,2,2,3,2,19,-1
20181028,2,2,2,1,1,38,5
20181030,1,2,1,0,2,29,6
20181101,1,0,0,0,1,12,4
20181104,4,3,1,0,3,0,-1
20181106,1,1,3,2,2,19,9
20181108,2,3,0,1,2,56,-1
20181111,3,3,3,3,2,0,-1
20181113,0,2,4,4,3,0,-1
20181115,1,1,1,1,1,12,-1
20181118,2,0,1,2,2,4,-1
20181120,1,1,0,1,1,17,8
20181122,3,2,1,2,1,7,9
20181125,1,0,1,0,0,10,4
20181127,0,0,1,0,0,53,-1
20181129,0,1,1,0,0,2,4
20181202,1,1,0,2,0,40,7
20181204,1,2,1,2,2,16,5
20181206,1,2,1,2,2,1,5
20181209,1,0,0,1,1,21,2
20181211,1,0,1,0,1,1,2
20181213,0,1,2,1,3,65,-1
20181216,1,1,1,0,0,2,2
20181218,1,1,1,2,1,39,3
20181220,4,2,2,1,3,36,-1
20181223,2,0,1,3,1,4,-1
20181225,2,1,2,2,2,27,-1
20181227,3,1,2,2,1,15,9
20181230,0,1,0,2,0,105,-1
20190101,1,0,1,2,2,27,6
20190103,3,4,4,4,2,0,-1
20190106,0,2,0,0,2,375,-1
20190108,1,2,1,2,0,3,6
20190110,0,1,0,1,1,11,2
20190113,2,2,1,2,1,16,5
20190115,2,2,2,2,2,35,-1
20190117,0,1,1,2,2,4,6
20190120,2,0,0,1,0,9,-1
20190122,1,1,1,2,1,15,3
20190124,2,2,2,0,2,86,-1
20190127,0,2,0,1,0,3,-1
20190129,1,0,2,0,3,148,-1
20190131,2,2,1,2,2,16,-1
20190203,2,2,2,2,2,8,-1
20190212,2,2,1,1,2,10,5
20190214,2,3,2,2,2,2,-1
20190217,1,0,1,2,1,35,8
20190219,1,1,1,2,1,9,3
20190221,0,2,1,1,0,32,7
20190224,2,2,2,2,1,7,-1
20190226,1,2,1,1,0,4,8
20190228,1,2,1,2,1,72,1
20190303,2,1,2,2,2,3,-1
20190305,1,1,0,1,0,20,2
20190307,0,0,2,1,1,6,7
20190310,1,2,1,3,2,28,9
20190312,3,1,1,2,2,1,9
20190314,0,0,2,0,1,17,-1
20190317,2,3,1,1,2,2,9
20190319,2,1,1,1,2,8,1
20190321,2,3,3,4,2,289,-1
20190324,2,2,3,2,3,93,-1
20190326,1,3,2,1,1,72,-1
20190328,2,2,2,2,3,18,-1
20190331,2,1,2,1,1,5,1
20190402,1,1,1,1,3,56,-1
20190404,1,1,1,1,2,19,3
20190407,0,1,1,0,0,52,4
20190409,1,2,2,1,1,4,1
20190411,1,1,2,0,1,19,8
20190414,1,0,1,1,0,17,2
20190416,0,1,0,1,0,4,4
20190418,0,0,0,2,1,15,-1
20190421,0,0,0,0,0,59,-1
20190423,1,2,0,3,0,33,-1
20190425,0,1,1,0,1,5,2
20190428,2,2,1,2,1,32,5
20190430,2,0,0,1,1,23,7
20190502,1,2,2,1,1,10,1
20190505,1,0,3,2,2,69,-1
20190507,4,1,1,3,1,359,-1
20190509,1,3,1,2,2,23,9
20190512,2,2,1,1,1,4,1
20190514,1,1,1,0,2,14,8
20190516,3,2,1,2,4,60,-1
20190519,2,1,2,1,1,3,1
20190521,1,0,0,1,0,15,4
20190523,2,1,2,2,2,35,-1
20190526,2,2,2,2,2,25,-1
20190528,2,0,1,2,1,53,6
20190530,0,2,1,0,1,13,7
20190602,1,2,1,3,1,29,-1
20190604,0,1,1,1,1,9,8
20190606,0,1,2,1,2,4,6
20190609,1,1,1,0,0,19,2
20190611,2,3,1,2,2,8,-1
20190613,0,1,1,2,1,4,8
20190616,1,1,0,2,1,1,8
20190618,1,0,1,2,1,1,8
20190620,3,3,3,4,2,92,-1
20190623,2,1,2,1,2,24,5
20190625,0,0,0,1,1,15,4
20190627,1,2,1,2,1,17,1
20190630,0,1,2,2,1,10,6
20190702,1,0,0,2,1,14,7
20190704,1,2,1,1,1,39,3
20190707,1,3,2,0,0,32,-1
20190709,2,2,2,2,2,19,-1
20190711,2,1,3,2,1,27,9
20190714,2,2,1,0,2,30,-1
20190716,0,2,1,0,1,6,7
20190718,0,0,3,2,1,5,-1
20190721,1,3,2,1,1,21,-1
20190723,1,1,3,1,2,1,-1
20190725,1,1,0,0,0,13,4
20190728,3,4,1,1,4,0,-1
20190730,1,0,0,1,2,6,7
20190801,3,4,2,1,2,33,-1
20190804,0,3,1,1,2,93,-1
20190806,2,3,1,2,2,24,-1
20190808,0,1,1,1,1,22,8
20190811,1,1,0,3,2,3,-1
20190813,1,1,1,0,2,2,8
20190815,3,2,3,1,1,191,-1
20190818,2,2,1,1,0,21,6
20190820,1,1,0,2,0,9,7
20190822,1,1,1,0,1,4,8
20190825,1,1,1,2,0,1,8
20190827,3,3,2,2,2,67,-1
20190829,0,2,0,1,1,4,7
20190901,0,0,1,0,0,57,-1
20190903,3,1,2,3,1,8,-1
20190905,1,1,1,1,1,67,-1
20190908,0,0,1,0,1,19,4
20190910,1,0,2,1,1,7,8
20190912,2,2,2,0,1,26,-1
20190915,1,1,1,2,0,2,8
20190917,1,2,2,2,1,37,5
20190919,0,1,1,1,1,2,8
20190922,0,1,0,0,0,9,-1
20190924,1,2,1,1,2,38,1
20190926,2,2,1,3,1,33,9
20190929,2,1,0,1,1,4,8
20191008,3,2,2,2,3,15,-1
20191010,2,1,1,4,0,23,-1
20191013,1,3,1,1,2,32,-1
20191015,3,2,2,2,4,3,-1
20191017,2,1,1,0,1,5,8
20191020,0,0,0,1,0,9,-1
20191022,0,0,1,1,1,55,2
20191024,2,1,3,1,1,5,-1
20191027,2,1,1,2,1,11,1
20191029,2,2,0,2,2,113,-1
20191031,0,0,0,0,0,5,-1
20191103,2,1,1,1,2,3,1
20191105,1,1,2,2,1,1,1
20191107,2,1,3,2,2,37,-1
20191110,3,2,3,2,4,97,-1
20191112,2,1,0,1,0,29,7
20191114,3,1,2,3,2,42,-1
20191117,2,1,1,1,3,10,-1
20191119,1,0,0,1,2,3,7
20191121,2,2,2,2,2,55,-1
20191124,0,0,1,3,1,233,-1
20191126,0,2,1,3,2,29,-1
20191128,1,0,2,1,1,18,8
20191201,0,0,1,1,0,33,4
20191203,1,1,0,1,1,2,8
20191205,5,3,2,3,3,69,-1
20191208,2,1,1,1,2,14,1
20191210,2,3,2,1,2,14,-1
20191212,0,1,1,1,0,22,2
20191215,1,0,0,0,0,19,-1
20191217,2,1,0,1,0,12,7
20191219,2,1,3,1,2,33,9
20191222,1,1,1,2,2,6,1
20191224,0,2,3,2,2,24,-1
20191226,2,0,1,1,0,4,7
20191229,1,2,1,2,2,41,5
20191231,2,2,1,2,1,1,5
20200102,1,1,1,1,2,75,3
20200105,3,2,1,2,4,22,-1
20200107,2,1,1,2,2,3,5
20200109,0,0,0,1,0,11,-1
20200112,1,0,0,0,0,1,-1
20200114,3,3,2,3,2,28,-1
20200116,1,1,3,1,1,54,-1
20200119,1,2,1,1,3,27,-1
20200121,1,1,1,1,1,2,-1
20200312,2,1,3,3,1,58,-1
20200315,2,2,2,3,2,28,-1
20200317,1,0,1,1,0,20,2
20200319,4,2,2,0,1,28,-1
20200322,1,0,0,2,2,82,-1
20200324,1,1,2,1,3,7,-1
20200326,2,1,1,3,1,1,-1
20200329,2,1,2,1,2,14,5
20200331,1,1,0,0,0,31,4
20200402,2,2,1,1,2,2,5
20200405,1,1,1,1,0,32,8
20200407,1,0,1,1,1,1,8
20200409,1,1,2,1,2,26,1
20200412,2,1,0,4,2,10,-1
20200414,1,0,1,2,3,59,-1
20200416,1,2,1,1,1,24,3
20200419,1,1,2,1,1,1,3
20200421,1,2,2,1,0,82,6
20200423,1,1,1,1,2,2,3
20200426,0,0,1,1,1,17,2
20200428,1,2,0,1,0,32,7
20200430,3,3,3,2,2,25,-1
20200503,3,1,2,2,1,37,9
20200505,1,0,2,1,0,3,7
20200507,1,1,1,1,2,6,3
20200510,3,2,3,3,3,46,-1
20200512,2,3,1,1,1,20,-1
20200514,2,4,1,2,1,265,-1
20200517,2,0,1,1,1,17,8
20200519,1,1,0,1,2,1,8
20200521,0,1,0,1,2,7,7
20200524,1,0,1,2,2,14,6
20200526,1,1,1,1,1,33,-1
20200528,2,1,1,2,2,24,5
20200531,0,1,0,1,2,4,7
20200602,2,1,0,1,1,6,8
20200604,1,2,2,1,3,14,9
20200607,2,1,1,1,2,25,1
20200609,0,2,1,2,1,7,6
20200611,1,1,0,2,2,1,6
20200614,2,0,1,1,2,1,6
20200616,3,2,2,2,1,60,-1
20200618,1,1,1,0,1,7,8
20200621,2,1,1,2,1,6,1
20200623,1,1,1,2,2,1,1
20200625,0,2,2,1,2,32,-1
20200628,0,1,0,0,0,51,-1
20200630,1,0,1,1,1,5,8
20200702,1,1,1,0,1,1,8
20200705,1,2,0,1,1,1,8
20200707,1,2,1,2,2,17,5
20200709,2,0,2,2,0,338,-1
20200712,0,0,1,1,0,44,4
20200714,1,0,0,1,2,19,7
20200716,3,1,1,1,2,28,-1
20200719,3,2,0,1,2,10,-1
20200721,2,2,3,1,3,64,-1
20200723,1,2,3,4,3,266,-1
20200726,0,0,1,0,0,12,-1
20200728,2,2,3,0,1,4,-1
20200730,1,2,2,2,1,10,5
20200802,1,1,0,0,1,42,2
20200804,2,1,2,0,1,22,6
20200806,0,1,0,1,1,2,2
20200809,0,3,3,4,2,0,-1
20200811,2,2,2,2,1,24,-1
20200813,1,1,0,0,0,14,4
20200816,2,0,1,2,2,8,-1
20200818,2,1,1,1,2,24,1
20200820,1,1,1,1,2,45,3
20200823,1,1,1,1,0,21,8
20200825,1,1,0,2,2,9,6
20200827,1,1,0,1,2,2,8
20200830,1,1,0,0,1,10,2
20200901,1,1,1,1,3,42,-1
20200903,1,1,1,0,2,3,8
20200906,2,2,1,2,1,16,5
20200908,0,0,1,1,1,4,2
20200910,1,0,1,1,0,1,2
20200913,3,1,1,1,1,5,-1
20200915,1,0,0,0,1,14,4
20200917,0,0,1,1,1,3,2
20200920,3,0,0,2,2,31,-1
20200922,4,3,2,2,4,0,-1
20200924,0,2,2,0,1,80,-1
20200927,0,1,2,2,3,18,-1
20200929,1,0,0,0,0,28,-1
20201006,0,1,1,1,0,6,2
20201008,1,0,1,0,2,35,7
20201011,1,2,4,2,3,33,-1
20201013,0,0,2,0,0,4,-1
20201015,1,1,1,2,2,23,1
20201018,1,4,3,3,1,447,-1
20201020,2,2,1,1,1,2,1
20201022,2,0,3,2,1,9,-1
20201025,2,3,3,1,2,6,-1
20201027,2,0,2,1,1,25,6
20201029,3,1,1,4,2,97,-1
20201101,0,1,1,0,2,10,7
20201103,0,1,1,1,0,12,2
20201105,2,1,1,2,2,24,5
20201108,2,1,1,1,1,32,3
20201110,2,0,2,1,1,6,6
20201112,1,1,0,0,1,4,2
20201115,1,1,0,1,2,29,8
20201117,1,1,2,1,1,4,3
20201119,2,2,3,3,2,149,-1
20201122,0,2,1,2,2,13,-1
20201124,0,2,1,1,0,10,7
20201126,0,0,1,1,1,6,2
20201129,3,3,3,3,2,85,-1
20201201,1,0,1,1,3,497,-1
20201203,0,0,2,2,1,28,-1
20201206,0,1,1,2,2,11,6
20201208,1,2,0,1,1,10,8
20201210,2,1,0,2,2,8,-1
20201213,3,2,0,2,2,129,-1
20201215,2,1,1,1,1,12,3
20201217,1,2,0,0,1,10,7
20201220,1,1,1,1,1,40,-1
20201222,1,0,1,1,0,11,2
20201224,1,1,3,0,1,10,-1
20201227,3,2,2,3,2,16,-1
20201229,1,2,3,2,1,87,9
20201231,2,1,2,3,2,59,-1
20210103,1,2,1,1,1,8,3
20210105,1,1,2,2,2,26,5
20210107,4,0,2,1,1,113,-1
20210110,0,1,0,1,0,48,4
20210112,0,0,1,2,0,246,-1
20210114,1,0,0,0,0,40,-1
20210117,1,1,2,1,1,6,3
20210119,1,2,2,0,2,17,-1
20210121,1,1,3,0,1,12,-1
20210124,1,1,2,1,2,41,1
20210126,0,3,2,2,2,19,-1
20210128,2,2,2,0,1,4,-1
20210131,1,1,2,1,2,3,1
20210202,1,2,3,1,3,41,-1
20210204,3,2,1,1,2,16,9
20210207,1,3,1,2,3,2,-1
20210221,1,2,1,2,2,15,5
20210223,1,1,1,2,1,11,3
20210225,1,0,1,0,1,23,2
20210228,4,0,2,2,3,488,-1
20210302,1,1,2,1,0,31,8
20210304,1,0,1,1,1,1,8
20210307,0,0,0,0,0,17,-1
20210309,0,1,2,1,2,35,6
20210311,3,3,0,3,2,85,-1
20210314,3,0,2,1,4,524,-1
20210316,1,2,1,3,2,12,9
20210318,0,1,0,0,1,24,4
20210321,1,1,0,1,0,10,2
20210323,1,2,1,1,1,12,3
20210325,2,0,1,3,0,43,-1
20210328,0,1,0,1,0,4,4
20210330,2,2,1,2,2,33,-1
20210401,2,2,2,1,0,22,-1
20210404,1,0,1,1,1,13,8
20210406,1,0,1,0,1,7,2
20210408,2,1,2,1,1,24,1
20210411,2,0,2,2,2,27,-1
20210413,3,2,1,3,3,106,-1
20210415,2,1,0,1,1,5,8
20210418,1,2,0,3,2,7,-1
20210420,1,1,0,1,0,6,2
20210422,2,3,1,3,2,72,-1
20210425,2,2,1,3,4,1,-1
20210427,2,1,2,2,2,12,-1
20210429,3,0,2,5,2,26,-1
20210502,1,2,0,2,2,6,-1
20210504,3,2,2,2,3,50,-1
20210506,1,2,1,3,1,119,-1
20210509,1,1,2,1,2,13,1
20210511,3,2,2,2,2,174,-1
20210513,2,3,3,1,3,13,-1
20210516,0,1,1,0,1,11,2
20210518,1,0,1,1,1,14,8
20210520,1,1,2,1,1,25,3
20210523,2,2,2,2,2,5,-1
20210525,1,3,4,2,1,41,-1
20210527,0,0,0,2,1,53,-1
20210530,1,1,0,0,2,65,7
20210601,0,0,1,0,0,37,-1
20210603,3,2,1,3,1,4,-1
20210606,1,2,1,1,0,8,8
20210608,5,3,3,2,2,166,-1
20210610,2,2,1,2,3,19,-1
20210613,2,2,3,1,2,1,-1
