Date,A0,A1,A2,A3,A4,A5,A6
20230305,0,0,0,2,7,6,5
20230302,0,0,0,0,1,10,9
20230228,0,0,1,2,5,3,9
20230226,0,0,0,1,4,5,10
20230223,0,0,0,4,5,8,3
20230221,0,0,0,5,10,5,0
20230219,0,0,0,1,5,11,3
20230216,0,0,0,2,2,9,7
20230214,0,0,0,0,2,9,9
20230212,0,0,1,1,7,8,3
20230209,0,0,0,2,8,5,5
20230207,0,0,1,0,8,11,0
20230205,0,0,1,1,2,7,9
20230202,0,0,0,2,5,9,4
20230131,0,0,0,0,2,9,9
20230129,0,0,0,1,2,11,6
20230117,0,0,0,2,2,12,4
20230115,0,0,0,1,3,10,6
20230112,0,0,0,1,8,9,2
20230110,0,0,0,2,5,12,1
20230108,0,0,0,4,5,9,2
20230105,0,0,0,3,6,11,0
20230103,0,0,0,0,4,7,9
20230101,0,0,0,0,5,15,0
20221229,0,0,0,2,5,9,4
20221227,0,0,1,12,7,0,0
20221225,0,0,0,4,8,5,3
20221222,0,0,0,0,2,12,6
20221220,0,0,0,2,6,6,6
20221218,0,0,2,11,5,2,0
20221215,1,1,6,6,6,0,0
20221213,0,0,0,3,10,7,0
20221211,0,0,0,0,6,10,4
20221208,0,0,0,1,5,11,3
20221206,0,0,0,4,4,8,4
20221204,0,0,0,0,4,12,4
20221201,0,0,0,2,2,4,12
20221129,0,0,0,3,5,12,0
20221127,0,0,0,1,2,0,17
20221124,0,0,0,2,6,10,2
20221122,0,0,0,1,9,10,0
20221120,0,0,1,0,3,10,6
20221117,0,0,7,7,5,1,0
20221115,0,0,0,0,2,4,14
20221113,0,0,1,2,2,6,9
20221110,0,0,0,1,3,11,5
20221108,0,0,0,0,3,6,11
20221106,0,0,0,0,7,12,1
20221103,0,1,1,5,6,7,0
20221101,0,0,0,3,5,8,4
20221030,0,0,0,0,9,7,4
20221027,0,0,0,1,5,8,6
20221025,0,0,0,0,1,4,15
20221023,0,0,0,0,3,13,4
20221020,0,0,0,0,2,4,14
20221018,0,0,0,3,5,7,5
20221016,0,0,0,8,6,6,0
20221013,0,0,0,0,1,6,13
20221011,0,0,0,5,7,8,0
20221009,0,0,0,0,6,8,6
20221006,0,0,0,2,5,12,1
20220929,0,0,0,0,5,8,7
20220927,0,0,0,1,2,13,4
20220925,0,0,1,0,4,8,7
20220922,0,0,0,1,0,8,11
20220920,0,0,0,2,9,8,1
20220918,0,1,0,3,1,12,3
20220915,0,0,0,0,2,10,8
20220913,0,0,0,1,7,11,1
20220911,0,0,0,1,4,4,11
20220908,0,0,1,3,5,11,0
20220906,0,0,1,0,7,9,3
20220904,0,0,0,0,3,7,10
20220901,0,0,0,1,3,6,10
20220830,0,0,0,4,3,9,4
20220828,0,0,1,4,10,5,0
20220825,0,0,0,4,6,10,0
20220823,0,0,0,1,7,11,1
20220821,0,0,1,0,5,14,0
20220818,0,0,0,0,3,10,7
20220816,0,0,0,2,2,10,6
20220814,0,0,0,1,3,16,0
20220811,0,0,0,0,3,7,10
20220809,0,0,0,1,0,7,12
20220807,0,0,1,2,8,8,1
20220804,0,0,1,2,13,3,1
20220802,0,0,1,1,6,4,8
20220731,0,0,0,0,1,9,10
20220728,0,0,0,0,0,12,8
20220726,0,0,0,0,14,5,1
20220724,0,0,0,0,5,7,8
20220721,0,0,0,0,2,10,8
20220719,0,0,0,0,6,8,6
20220717,0,0,0,1,3,8,8
20220714,0,0,0,0,7,11,2
20220712,0,0,0,0,7,9,4
20220710,0,0,1,1,11,6,1
20220707,0,0,0,0,4,6,10
20220705,0,0,0,0,3,8,9
20220703,0,0,0,0,2,8,10
20220630,0,0,1,0,12,7,0
20220628,0,0,0,1,3,5,11
20220626,0,0,0,0,8,12,0
20220623,0,0,0,2,6,12,0
20220621,0,0,0,1,8,11,0
20220619,0,0,0,1,3,7,9
20220616,0,0,0,0,1,10,9
20220614,0,0,1,4,5,10,0
20220612,0,0,0,0,4,8,8
20220609,0,0,0,1,2,9,8
20220607,0,0,0,2,5,5,8
20220605,0,0,0,2,5,10,3
20220602,0,0,0,0,3,17,0
20220531,0,0,1,2,14,3,0
20220529,0,0,0,1,4,13,2
20220526,0,0,0,1,4,15,0
20220524,0,0,0,5,14,1,0
20220522,0,0,0,0,11,9,0
20220519,0,0,0,2,8,10,0
20220517,0,0,0,9,5,6,0
20220515,0,0,0,3,9,8,0
20220512,0,0,0,0,12,8,0
20220510,0,0,1,0,4,11,4
20220508,0,0,0,4,6,10,0
20220505,0,0,1,2,4,12,1
20220503,0,0,0,2,4,10,4
20220501,0,0,1,2,8,4,5
20220428,0,0,0,1,4,9,6
20220426,0,0,0,7,6,6,1
20220424,0,0,0,0,0,5,15
20220421,0,0,0,1,3,16,0
20220419,0,0,0,1,1,14,4
20220417,0,0,0,2,3,9,6
20220414,0,0,0,0,6,7,7
20220412,0,1,1,7,7,4,0
20220410,0,0,0,1,6,10,3
20220407,0,0,0,0,8,12,0
20220405,0,0,2,10,4,4,0
20220403,0,0,0,4,7,9,0
20220331,0,0,0,1,0,5,14
20220329,0,0,0,7,13,0,0
20220327,0,0,0,0,2,12,6
20220324,0,0,0,2,6,11,1
20220322,0,0,0,5,9,6,0
20220320,0,0,0,1,8,5,6
20220317,0,0,0,4,5,7,4
20220315,0,0,0,0,1,11,8
20220313,0,0,0,0,7,9,4
20220310,0,0,0,0,1,11,8
20220308,0,0,0,1,6,8,5
20220306,0,0,0,0,0,6,14
20220303,0,0,0,2,0,11,7
20220301,0,0,0,1,8,9,2
20220227,0,0,0,1,3,10,6
20220224,0,0,0,0,4,9,7
20220222,0,0,0,1,1,9,9
20220220,0,0,0,1,6,8,5
20220217,0,0,0,0,4,12,4
20220215,0,0,0,0,1,9,10
20220213,0,0,0,0,6,7,7
20220210,0,0,0,1,1,9,9
20220208,0,0,0,0,0,8,12
20220127,0,0,0,0,1,8,11
20220125,0,0,0,3,12,5,0
20220123,0,0,3,4,6,7,0
20220120,0,0,0,0,3,4,13
20220118,0,0,0,2,9,8,1
20220116,0,0,2,3,8,7,0
20220113,0,0,0,2,5,9,4
20220111,0,0,0,2,6,8,4
20220109,0,0,0,0,7,11,2
20220106,0,0,0,2,5,9,4
20220104,0,0,0,3,8,6,3
20220102,0,0,0,1,8,6,5
20211230,0,0,0,0,1,8,11
20211228,0,0,1,6,3,6,4
20211226,0,0,0,0,1,8,11
20211223,0,0,0,0,8,9,3
20211221,0,0,0,1,4,10,5
20211219,0,0,0,0,1,9,10
20211216,0,0,0,0,6,6,8
20211214,0,0,0,2,5,8,5
20211212,0,0,0,2,6,6,6
20211209,0,0,0,0,6,10,4
20211207,0,1,0,2,7,5,5
20211205,0,0,0,0,1,10,9
20211202,0,0,0,0,4,12,4
20211130,0,0,0,0,1,8,11
20211128,0,0,0,0,8,9,3
20211125,0,0,0,6,8,5,1
20211123,0,1,0,8,10,1,0
20211121,0,0,0,4,8,8,0
20211118,0,0,0,0,5,7,8
20211116,0,0,0,0,1,10,9
20211114,0,0,0,1,1,12,6
20211111,0,0,0,2,4,9,5
20211109,0,0,0,1,3,15,1
20211107,0,0,0,2,6,10,2
20211104,0,0,0,0,3,10,7
20211102,0,0,0,0,2,9,9
20211031,0,0,0,4,10,6,0
20211028,0,0,0,0,3,11,6
20211026,0,0,0,0,6,8,6
20211024,0,0,0,0,0,8,12
20211021,0,0,0,1,6,11,2
20211019,0,0,0,0,2,6,12
20211017,0,0,0,2,7,10,1
20211014,0,0,0,8,7,5,0
20211012,0,0,0,1,8,8,3
20211010,0,0,0,1,2,11,6
20211007,0,0,0,0,1,8,11
20211005,0,0,0,2,4,8,6
20210930,0,0,1,3,10,5,1
20210928,0,0,0,1,3,9,7
20210926,0,0,0,0,5,12,3
20210923,0,0,0,1,3,9,7
20210921,0,0,0,1,5,14,0
20210919,0,0,0,0,7,7,6
20210916,0,0,0,4,12,3,1
20210914,0,0,1,1,10,8,0
20210912,0,0,0,0,8,8,4
20210909,0,0,0,0,3,9,8
20210907,0,0,0,0,1,12,7
20210905,0,0,0,3,9,3,5
20210902,0,0,0,1,5,6,8
20210831,0,0,0,1,3,5,11
20210829,0,0,0,1,6,7,6
20210826,0,0,0,0,1,6,13
20210824,0,0,0,1,9,8,2
20210822,0,0,0,0,2,8,10
20210819,0,0,1,2,9,8,0
20210817,0,0,0,0,9,11,0
20210815,0,0,1,4,9,4,2
20210812,0,0,0,3,7,10,0
20210810,0,0,0,2,12,2,4
20210808,0,0,0,2,4,11,3
20210805,0,0,0,1,2,9,8
20210803,0,0,0,0,1,10,9
20210801,0,0,1,0,2,12,5
20210729,0,0,1,0,6,10,3
20210727,0,0,0,0,2,6,12
20210725,0,0,0,3,4,12,1
20210722,0,0,0,2,4,12,2
20210720,0,0,0,2,5,11,2
20210718,0,0,0,1,8,8,3
20210715,0,0,0,3,2,10,5
20210713,0,0,2,3,5,9,1
20210711,0,0,1,7,6,5,1
20210708,0,0,0,1,6,9,4
20210706,0,0,0,1,2,7,10
20210704,0,0,0,1,1,10,8
20210701,0,0,0,5,8,7,0
20210629,0,0,0,4,9,7,0
20210627,0,0,3,13,3,1,0
20210624,0,0,1,0,8,8,3
20210622,0,0,0,2,2,7,9
20210620,0,0,0,2,7,8,3
20210617,0,0,1,1,8,8,2
20210615,0,0,0,4,13,2,1
20210613,0,0,0,3,13,2,2
20210610,0,0,0,1,2,8,9
20210608,0,0,0,1,1,9,9
20210606,0,0,0,5,6,6,3
20210603,0,0,0,0,3,8,9
20210601,0,1,1,5,11,2,0
20210530,0,0,5,8,7,0,0
20210527,0,0,0,0,1,11,8
20210525,0,0,1,1,4,14,0
20210523,0,0,0,0,2,12,6
20210520,0,0,0,2,7,8,3
20210518,0,0,0,1,5,12,2
20210516,0,0,0,1,14,5,0
20210513,0,0,0,0,1,7,12
20210511,0,0,0,0,2,8,10
20210509,0,0,0,5,8,5,2
20210506,0,0,0,2,8,9,1
20210504,0,0,0,3,7,10,0
20210502,0,0,0,0,1,6,13
20210429,0,0,0,1,5,14,0
20210427,0,0,0,4,13,3,0
20210425,0,0,0,2,6,6,6
20210422,0,0,0,0,1,8,11
20210420,0,0,0,0,3,8,9
20210418,0,0,1,1,7,9,2
20210415,0,0,0,0,4,10,6
20210413,0,0,0,0,3,8,9
20210411,0,0,0,3,3,9,5
20210408,0,0,0,0,0,10,10
20210406,0,0,0,0,7,8,5
20210404,0,0,0,1,3,4,12
20210401,0,0,0,1,3,11,5
20210330,0,0,0,8,7,5,0
20210328,0,0,0,1,8,9,2
20210325,0,0,0,2,8,8,2
20210323,0,0,0,2,6,8,4
20210321,0,0,0,1,9,7,3
20210318,0,0,1,3,7,9,0
20210316,0,0,0,0,2,10,8
20210314,0,0,0,0,4,3,13
20210311,0,0,0,0,3,11,6
20210309,0,0,0,0,8,9,3
20210307,0,0,0,2,4,9,5
20210304,0,0,0,4,10,5,1
20210302,0,0,2,2,9,7,0
20210228,0,0,0,0,3,11,6
20210225,0,0,0,0,0,8,12
20210223,0,0,1,3,5,10,1
20210221,0,0,1,3,14,1,1
20210207,0,0,0,0,5,3,12
20210204,0,0,0,0,2,10,8
20210202,0,0,0,0,4,16,0
20210131,0,0,0,2,7,8,3
20210128,0,0,0,1,3,10,6
20210126,0,0,1,1,7,11,0
20210124,0,0,5,14,1,0,0
20210121,0,0,0,4,7,8,1
20210119,0,0,2,7,11,0,0
20210117,0,0,2,6,8,3,1
20210114,0,0,0,1,5,10,4
20210112,0,0,0,1,6,5,8
20210110,0,0,1,4,7,5,3
20210107,0,0,0,0,1,8,11
20210105,0,0,0,0,4,12,4
20210103,0,0,3,5,8,3,1
20201231,0,0,0,0,4,10,6
20201229,0,0,0,0,3,9,8
20201227,0,0,0,1,5,12,2
20201224,0,0,0,0,2,10,8
20201222,0,0,0,2,4,9,5
20201220,0,0,0,6,11,3,0
20201217,0,0,0,0,5,9,6
20201215,0,0,0,2,6,9,3
20201213,0,0,0,0,1,9,10
20201210,0,0,0,2,7,9,2
20201208,0,0,0,1,7,12,0
20201206,0,0,0,3,11,5,1
20201203,0,0,0,0,5,10,5
20201201,0,0,1,0,9,8,2
20201129,0,0,0,2,6,8,4
20201126,0,0,5,11,4,0,0
20201124,0,0,2,3,9,6,0
20201122,0,0,0,4,2,8,6
20201119,0,0,0,0,1,9,10
20201117,0,0,2,2,9,6,1
20201115,0,0,2,1,11,6,0
20201112,0,0,0,2,8,7,3
20201110,0,0,0,3,6,7,4
20201108,0,0,0,0,4,12,4
20201105,0,0,0,1,5,8,6
20201103,0,0,2,3,10,5,0
20201101,0,0,0,1,9,9,1
20201029,0,0,0,0,3,10,7
20201027,0,0,0,0,2,15,3
20201025,0,0,0,0,3,5,12
20201022,0,0,0,0,1,6,13
20201020,0,0,0,1,7,12,0
20201018,0,0,0,0,0,1,19
20201015,0,0,0,0,1,7,12
20201013,0,0,1,4,6,8,1
20201011,0,0,0,0,5,5,10
20201008,0,0,0,2,7,11,0
20201006,0,0,1,3,10,3,3
20200929,0,1,3,5,7,3,1
20200927,0,0,0,0,4,9,7
20200924,0,0,0,1,3,7,9
20200922,0,0,0,0,1,7,12
20200920,0,0,0,1,4,15,0
20200917,0,0,0,0,7,13,0
20200915,0,0,1,5,11,2,1
20200913,0,0,1,2,4,7,6
20200910,0,0,2,7,3,8,0
20200908,0,0,1,2,7,8,2
20200906,0,0,0,1,5,9,5
20200903,0,0,0,3,10,6,1
20200901,0,0,0,1,4,10,5
20200830,0,0,3,4,8,5,0
20200827,0,0,1,2,4,10,3
20200825,0,0,0,7,9,4,0
20200823,0,0,1,4,11,4,0
20200820,0,0,0,1,7,7,5
20200818,0,0,0,1,7,12,0
20200816,0,0,0,2,7,7,4
20200813,0,0,0,0,4,10,6
20200811,0,0,0,0,1,11,8
20200809,0,0,0,0,1,16,3
20200806,0,0,0,1,6,4,9
20200804,0,0,0,0,8,9,3
20200802,0,0,1,2,7,6,4
20200730,0,0,0,2,4,7,7
20200728,0,0,0,2,0,8,10
20200726,0,0,0,2,4,10,4
20200723,0,0,0,0,0,9,11
20200721,0,0,0,0,3,11,6
20200719,0,0,0,0,6,6,8
20200716,0,0,2,3,8,6,1
20200714,0,0,1,2,4,11,2
20200712,0,0,0,0,7,5,8
20200709,0,0,0,0,4,9,7
20200707,0,0,0,0,4,5,11
20200705,0,0,0,1,8,10,1
20200702,0,0,0,4,7,8,1
20200630,0,0,0,0,3,14,3
20200628,0,0,0,8,7,4,1
20200625,0,0,1,2,10,6,1
20200623,0,0,0,2,9,5,4
20200621,0,0,0,1,14,5,0
20200618,0,0,0,2,8,5,5
20200616,0,0,0,0,1,8,11
20200614,0,0,0,6,11,3,0
20200611,0,0,0,0,2,11,7
20200609,0,0,0,4,7,8,1
20200607,0,0,1,0,4,14,1
20200604,0,0,0,6,4,9,1
20200602,0,0,0,4,10,5,1
20200531,0,0,0,1,1,8,10
20200528,0,0,2,0,5,9,4
20200526,0,0,1,3,8,8,0
20200524,0,0,0,0,3,8,9
20200521,0,1,0,4,7,7,1
20200519,0,0,0,2,6,8,4
20200517,0,0,0,3,7,5,5
20200514,0,0,0,1,8,6,5
20200512,0,0,0,3,10,7,0
20200510,0,0,0,0,9,11,0
20200507,0,0,1,1,3,10,5
20200505,0,0,1,1,5,12,1
20200503,0,0,0,0,1,9,10
20200430,0,0,0,0,2,8,10
20200428,0,0,0,1,8,9,2
20200426,0,0,2,3,13,2,0
20200423,0,0,0,1,4,12,3
20200421,0,0,0,1,9,8,2
20200419,0,0,0,1,9,10,0
20200416,0,0,1,2,3,10,4
20200414,0,0,0,0,2,9,9
20200412,0,0,0,1,4,12,3
20200409,0,0,0,0,2,9,9
20200407,0,0,0,2,6,7,5
20200405,0,0,0,3,9,7,1
20200402,0,0,0,2,7,10,1
20200331,0,0,0,2,10,7,1
20200329,0,0,0,1,5,10,4
20200326,0,0,0,0,7,3,10
20200324,0,0,0,1,7,9,3
20200322,0,0,0,1,6,5,8
20200319,0,0,0,1,3,12,4
20200317,0,0,1,3,3,9,4
20200315,0,0,0,0,4,14,2
20200312,0,0,0,1,8,8,3
20200121,0,0,0,1,6,6,7
20200119,0,0,0,3,5,9,3
20200116,0,0,0,0,3,12,5
20200114,0,1,0,2,7,8,2
20200112,0,0,0,4,7,7,2
20200109,0,1,3,7,7,2,0
20200107,0,0,0,2,6,9,3
20200105,0,0,0,0,4,5,11
20200102,0,0,0,1,2,13,4
20191231,0,0,0,4,7,6,3
20191229,0,0,0,1,7,12,0
20191226,0,0,3,12,5,0,0
20191224,0,0,0,1,1,9,9
20191222,0,0,0,3,9,8,0
20191219,0,0,0,4,12,4,0
20191217,0,0,0,2,5,13,0
20191215,0,0,2,1,5,8,4
20191212,0,0,1,1,10,7,1
20191210,0,0,0,0,3,15,2
20191208,0,0,0,0,3,14,3
20191205,0,0,0,0,4,13,3
20191203,0,0,0,3,6,10,1
20191201,0,1,5,9,5,0,0
20191128,0,0,0,1,13,6,0
20191126,0,0,0,0,10,10,0
20191124,0,0,0,3,7,10,0
20191121,0,0,1,2,4,11,2
20191119,0,0,1,2,7,7,3
20191117,0,0,0,3,10,6,1
20191114,0,0,0,1,1,9,9
20191112,0,0,2,3,9,6,0
20191110,0,0,0,0,1,11,8
20191107,0,0,0,1,2,8,9
20191105,0,0,0,0,6,6,8
20191103,0,0,1,8,11,0,0
20191031,0,0,0,1,7,10,2
20191029,0,0,0,2,8,10,0
20191027,0,0,0,0,5,12,3
20191024,0,0,0,1,0,7,12
20191022,0,2,2,7,6,3,0
20191020,0,0,6,11,3,0,0
20191017,0,0,0,2,9,7,2
20191015,0,0,0,1,3,8,8
20191013,0,0,1,6,8,5,0
20191010,0,0,1,6,10,3,0
20191008,0,0,0,0,1,3,16
20190929,0,0,0,2,8,9,1
20190926,0,0,0,5,12,3,0
20190924,0,0,0,2,5,10,3
20190922,0,0,1,4,11,4,0
20190919,0,0,0,0,4,13,3
20190917,0,0,1,1,6,10,2
20190915,0,0,0,6,6,8,0
20190912,0,0,3,6,9,2,0
20190910,0,0,0,0,12,7,1
20190908,0,0,0,2,5,7,6
20190905,0,0,0,1,6,10,3
20190903,0,0,0,0,1,5,14
20190901,0,0,0,3,11,6,0
20190829,0,0,0,10,9,1,0
20190827,0,0,0,6,10,4,0
20190825,0,0,0,1,3,8,8
20190822,0,0,0,1,5,7,7
20190820,0,0,0,0,3,6,11
20190818,0,0,0,3,4,11,2
20190815,0,0,0,1,5,6,8
