Date,P1,P2,P3,P4,P5
20180107,0,0,0,0,0
20180109,8,4,0,0,0
20180111,1,2,0,0,0
20180114,1,1,0,0,0
20180116,0,7,0,0,0
20180118,1,1,0,0,0
20180121,0,3,0,0,0
20180123,8,1,0,0,0
20180125,1,6,0,0,0
20180128,1,4,0,0,0
20180130,4,0,0,0,0
20180201,2,6,0,0,0
20180204,2,0,0,0,0
20180206,5,1,0,0,0
20180208,0,0,0,0,0
20180211,0,9,0,0,0
20180213,1,2,0,0,0
20180222,2,1,0,0,0
20180225,3,9,0,0,0
20180227,4,1,0,0,0
20180301,3,8,0,0,0
20180304,2,3,0,0,0
20180306,1,9,0,0,0
20180308,5,3,0,0,0
20180311,0,8,0,0,0
20180313,0,3,0,0,0
20180315,3,7,0,0,0
20180318,2,1,0,0,0
20180320,0,0,0,0,0
20180322,0,0,0,0,0
20180325,1,4,0,0,0
20180327,0,6,0,0,0
20180329,5,0,0,0,0
20180401,6,1,0,0,0
20180403,5,4,0,0,0
20180405,1,4,0,0,0
20180408,6,0,0,0,0
20180410,0,8,0,0,0
20180412,0,0,0,0,0
20180415,0,1,0,0,0
20180417,7,2,0,0,0
20180419,2,9,0,0,0
20180422,2,0,0,0,0
20180424,1,1,0,0,0
20180426,0,6,0,0,0
20180429,7,0,0,0,0
20180501,2,0,0,0,0
20180503,0,9,0,0,0
20180506,3,0,0,0,0
20180508,1,0,0,0,0
20180510,3,2,0,0,0
20180513,4,2,0,0,0
20180515,6,10,0,0,0
20180517,0,0,0,0,0
20180520,4,1,0,0,0
20180522,0,5,0,0,0
20180524,3,2,0,0,0
20180527,3,3,0,0,0
20180529,3,0,0,0,0
20180531,3,8,0,0,0
20180603,0,0,0,0,0
20180605,0,0,0,0,0
20180607,3,7,0,0,0
20180610,0,8,0,0,0
20180612,4,2,0,0,0
20180614,5,1,0,0,0
20180617,3,7,0,0,0
20180619,4,1,0,0,0
20180621,1,2,0,0,0
20180624,2,1,0,0,0
20180626,9,9,0,0,0
20180628,3,4,0,0,0
20180701,2,1,0,0,0
20180703,1,3,0,0,0
20180705,1,3,0,0,0
20180708,4,0,0,0,0
20180710,1,8,0,0,0
20180712,3,7,0,0,0
20180715,0,1,0,0,0
20180717,1,1,0,0,0
20180719,9,7,0,0,0
20180722,3,4,0,0,0
20180724,4,6,0,0,0
20180726,0,0,0,0,0
20180729,4,8,0,0,0
20180731,7,3,0,0,0
20180802,6,1,0,0,0
20180805,8,5,0,0,0
20180807,4,9,0,0,0
20180809,4,9,0,0,0
20180812,2,1,0,0,0
20180814,1,2,0,0,0
20180816,0,0,0,0,0
20180819,5,3,0,0,0
20180821,7,6,0,0,0
20180823,2,6,0,0,0
20180826,6,1,0,0,0
20180828,3,6,0,0,0
20180830,9,0,0,0,0
20180902,1,1,0,0,0
20180904,2,4,0,0,0
20180906,6,1,0,0,0
20180909,3,4,0,0,0
20180911,2,5,0,0,0
20180913,3,5,0,0,0
20180916,4,5,0,0,0
20180918,6,5,0,0,0
20180920,2,2,0,0,0
20180923,2,5,0,0,0
20180925,6,0,0,0,0
20180927,4,7,0,0,0
20180930,0,6,0,0,0
20181002,10,2,0,0,0
20181004,1,0,0,0,0
20181007,3,4,0,0,0
20181009,10,9,0,0,0
20181011,1,2,0,0,0
20181014,3,1,0,0,0
20181016,3,1,0,0,0
20181018,2,2,0,0,0
20181021,0,5,0,0,0
20181023,4,1,0,0,0
20181025,4,1,0,0,0
20181028,1,10,0,0,0
20181030,1,0,0,0,0
20181101,0,0,0,0,0
20181104,1,10,0,0,0
20181106,8,1,0,0,0
20181108,3,7,0,0,0
20181111,1,4,0,0,0
20181113,7,2,0,0,0
20181115,1,9,0,0,0
20181118,0,1,0,0,0
20181120,2,0,0,0,0
20181122,2,7,0,0,0
20181125,2,2,0,0,0
20181127,10,0,0,0,0
20181129,6,2,0,0,0
20181202,4,5,0,0,0
20181204,1,3,0,0,0
20181206,1,6,0,0,0
20181209,4,0,0,0,0
20181211,9,0,0,0,0
20181213,5,3,0,0,0
20181216,1,3,0,0,0
20181218,0,2,0,0,0
20181220,2,3,0,0,0
20181223,0,4,0,0,0
20181225,5,1,0,0,0
20181227,3,3,0,0,0
20181230,6,6,0,0,0
20190101,3,6,0,0,0
20190103,3,2,0,0,0
20190106,0,0,0,0,0
20190108,6,7,0,0,0
20190110,7,5,0,0,0
20190113,1,5,0,0,0
20190115,2,8,0,0,0
20190117,10,3,0,0,0
20190120,0,4,0,0,0
20190122,1,3,0,0,0
20190124,3,2,0,0,0
20190127,0,9,0,0,0
20190129,4,0,0,0,0
20190131,3,5,0,0,0
20190203,3,8,0,0,0
20190212,3,1,0,0,0
20190214,5,2,0,0,0
20190217,5,1,0,0,0
20190219,7,4,0,0,0
20190221,6,7,0,0,0
20190224,2,1,0,0,0
20190226,4,0,0,0,0
20190228,1,2,0,0,0
20190303,2,3,0,0,0
20190305,0,6,0,0,0
20190307,8,1,0,0,0
20190310,10,8,0,0,0
20190312,1,6,0,0,0
20190314,10,0,0,0,0
20190317,1,4,0,0,0
20190319,1,4,0,0,0
20190321,2,4,0,0,0
20190324,3,1,0,0,0
20190326,6,3,0,0,0
20190328,5,2,0,0,0
20190331,0,6,0,0,0
20190402,2,3,0,0,0
20190404,4,2,0,0,0
20190407,8,0,0,0,0
20190409,5,1,0,0,0
20190411,5,2,0,0,0
20190414,3,7,0,0,0
20190416,7,3,0,0,0
20190418,0,6,0,0,0
20190421,0,0,0,0,0
20190423,4,7,0,0,0
20190425,0,10,0,0,0
20190428,1,1,0,0,0
20190430,5,5,0,0,0
20190502,1,1,0,0,0
20190505,1,10,0,0,0
20190507,1,2,0,0,0
20190509,2,5,0,0,0
20190512,5,0,0,0,0
20190514,7,0,0,0,0
20190516,1,3,0,0,0
20190519,1,1,0,0,0
20190521,0,3,0,0,0
20190523,1,1,0,0,0
20190526,2,2,0,0,0
20190528,5,5,0,0,0
20190530,0,0,0,0,0
20190602,6,6,0,0,0
20190604,9,8,0,0,0
20190606,0,6,0,0,0
20190609,8,0,0,0,0
20190611,5,1,0,0,0
20190613,8,2,0,0,0
20190616,5,6,0,0,0
20190618,1,0,0,0,0
20190620,3,2,0,0,0
20190623,1,2,0,0,0
20190625,0,4,0,0,0
20190627,4,0,0,0,0
20190630,6,3,0,0,0
20190702,2,6,0,0,0
20190704,2,0,0,0,0
20190707,7,1,0,0,0
20190709,1,4,0,0,0
20190711,3,1,0,0,0
20190714,4,0,0,0,0
20190716,9,3,0,0,0
20190718,10,3,0,0,0
20190721,7,2,0,0,0
20190723,5,1,0,0,0
20190725,0,0,0,0,0
20190728,1,7,0,0,0
20190730,1,8,0,0,0
20190801,2,1,0,0,0
20190804,8,10,0,0,0
20190806,7,2,0,0,0
20190808,0,5,0,0,0
20190811,3,5,0,0,0
20190813,4,4,0,0,0
20190815,3,4,0,0,0
20190818,3,0,0,0,0
20190820,5,0,0,0,0
20190822,9,3,0,0,0
20190825,8,4,0,0,0
20190827,1,4,0,0,0
20190829,8,8,0,0,0
20190901,10,0,0,0,0
20190903,1,3,0,0,0
20190905,4,0,0,0,0
20190908,0,0,0,0,0
20190910,0,1,0,0,0
20190912,5,7,0,0,0
20190915,3,0,0,0,0
20190917,2,2,0,0,0
20190919,0,1,0,0,0
20190922,0,0,0,0,0
20190924,4,6,0,0,0
20190926,6,1,0,0,0
20190929,4,5,0,0,0
20191008,3,8,0,0,0
20191010,4,5,0,0,0
20191013,5,0,0,0,0
20191015,3,3,0,0,0
20191017,2,4,0,0,0
20191020,0,0,0,0,0
20191022,0,0,0,0,0
20191024,0,2,0,0,0
20191027,2,1,0,0,0
20191029,1,5,0,0,0
20191031,0,0,0,0,0
20191103,4,6,0,0,0
20191105,4,1,0,0,0
20191107,6,5,0,0,0
20191110,1,1,0,0,0
20191112,4,4,0,0,0
20191114,1,4,0,0,0
20191117,1,3,0,0,0
20191119,0,8,0,0,0
20191121,3,1,0,0,0
20191124,0,4,0,0,0
20191126,9,5,0,0,0
20191128,4,1,0,0,0
20191201,0,4,0,0,0
20191203,2,5,0,0,0
20191205,1,1,0,0,0
20191208,1,2,0,0,0
20191210,1,2,0,0,0
20191212,0,6,0,0,0
20191215,1,0,0,0,0
20191217,1,0,0,0,0
20191219,3,3,0,0,0
20191222,5,1,0,0,0
20191224,10,2,0,0,0
20191226,0,1,0,0,0
20191229,6,3,0,0,0
20191231,1,3,0,0,0
20200102,3,2,0,0,0
20200105,2,8,0,0,0
20200107,2,7,0,0,0
20200109,0,0,0,0,0
20200112,0,0,0,0,0
20200114,1,2,0,0,0
20200116,2,4,0,0,0
20200119,9,3,0,0,0
20200121,9,0,0,0,0
20200312,6,4,0,0,0
20200315,2,3,0,0,0
20200317,5,5,0,0,0
20200319,2,1,0,0,0
20200322,0,8,0,0,0
20200324,4,4,0,0,0
20200326,3,4,0,0,0
20200329,1,3,0,0,0
20200331,3,0,0,0,0
20200402,2,2,0,0,0
20200405,0,0,0,0,0
20200407,2,0,0,0,0
20200409,9,8,0,0,0
20200412,2,6,0,0,0
20200414,3,6,0,0,0
20200416,1,0,0,0,0
20200419,3,2,0,0,0
20200421,4,2,0,0,0
20200423,2,1,0,0,0
20200426,0,5,0,0,0
20200428,9,0,0,0,0
20200430,2,1,0,0,0
20200503,1,2,0,0,0
20200505,2,3,0,0,0
20200507,4,7,0,0,0
20200510,2,1,0,0,0
20200512,1,8,0,0,0
20200514,2,5,0,0,0
20200517,2,7,0,0,0
20200519,3,5,0,0,0
20200521,0,8,0,0,0
20200524,0,4,0,0,0
20200526,1,0,0,0,0
20200528,5,3,0,0,0
20200531,10,4,0,0,0
20200602,1,6,0,0,0
20200604,0,1,0,0,0
20200607,9,7,0,0,0
20200609,8,6,0,0,0
20200611,2,9,0,0,0
20200614,5,0,0,0,0
20200616,3,5,0,0,0
20200618,0,1,0,0,0
20200621,3,2,0,0,0
20200623,3,1,0,0,0
20200625,7,4,0,0,0
20200628,10,0,0,0,0
20200630,0,7,0,0,0
20200702,3,1,0,0,0
20200705,9,1,0,0,0
20200707,1,1,0,0,0
20200709,2,7,0,0,0
20200712,0,4,0,0,0
20200714,0,0,0,0,0
20200716,2,1,0,0,0
20200719,4,0,0,0,0
20200721,1,1,0,0,0
20200723,4,1,0,0,0
20200726,0,0,0,0,0
20200728,1,2,0,0,0
20200730,10,1,0,0,0
20200802,3,0,0,0,0
20200804,5,0,0,0,0
20200806,7,6,0,0,0
20200809,8,1,0,0,0
20200811,2,1,0,0,0
20200813,3,1,0,0,0
20200816,1,5,0,0,0
20200818,1,3,0,0,0
20200820,1,3,0,0,0
20200823,5,6,0,0,0
20200825,2,4,0,0,0
20200827,3,0,0,0,0
20200830,1,1,0,0,0
20200901,1,1,0,0,0
20200903,0,3,0,0,0
20200906,2,1,0,0,0
20200908,0,0,0,0,0
20200910,5,0,0,0,0
20200913,2,0,0,0,0
20200915,0,0,0,0,0
20200917,0,3,0,0,0
20200920,3,0,0,0,0
20200922,2,1,0,0,0
20200924,6,0,0,0,0
20200927,0,2,0,0,0
20200929,0,0,0,0,0
20201006,10,2,0,0,0
20201008,0,2,0,0,0
20201011,1,1,0,0,0
20201013,0,0,0,0,0
20201015,3,3,0,0,0
20201018,7,5,0,0,0
20201020,1,1,0,0,0
20201022,2,7,0,0,0
20201025,3,0,0,0,0
20201027,3,3,0,0,0
20201029,3,5,0,0,0
20201101,8,0,0,0,0
20201103,0,3,0,0,0
20201105,2,4,0,0,0
20201108,0,5,0,0,0
20201110,0,1,0,0,0
20201112,10,9,0,0,0
20201115,0,1,0,0,0
20201117,3,3,0,0,0
20201119,3,1,0,0,0
20201122,10,2,0,0,0
20201124,9,6,0,0,0
20201126,0,0,0,0,0
20201129,1,1,0,0,0
20201201,2,7,0,0,0
20201203,0,4,0,0,0
20201206,0,4,0,0,0
20201208,4,0,0,0,0
20201210,2,0,0,0,0
20201213,2,3,0,0,0
20201215,3,0,0,0,0
20201217,6,0,0,0,0
20201220,5,1,0,0,0
20201222,3,0,0,0,0
20201224,0,3,0,0,0
20201227,1,1,0,0,0
20201229,4,2,0,0,0
20201231,3,2,0,0,0
20210103,9,0,0,0,0
20210105,8,2,0,0,0
20210107,1,2,0,0,0
20210110,0,6,0,0,0
20210112,0,3,0,0,0
20210114,0,0,0,0,0
20210117,2,1,0,0,0
20210119,5,1,0,0,0
20210121,7,1,0,0,0
20210124,1,5,0,0,0
20210126,7,1,0,0,0
20210128,1,3,0,0,0
20210131,0,8,0,0,0
20210202,3,3,0,0,0
20210204,8,10,0,0,0
20210207,7,9,0,0,0
20210221,6,1,0,0,0
20210223,2,0,0,0,0
20210225,0,0,0,0,0
20210228,2,4,0,0,0
20210302,0,1,0,0,0
20210304,0,0,0,0,0
20210307,0,0,0,0,0
20210309,0,5,0,0,0
20210311,1,4,0,0,0
20210314,1,4,0,0,0
20210316,5,2,0,0,0
20210318,8,0,0,0,0
20210321,7,0,0,0,0
20210323,2,4,0,0,0
20210325,0,4,0,0,0
20210328,7,6,0,0,0
20210330,3,3,0,0,0
20210401,1,0,0,0,0
20210404,0,5,0,0,0
20210406,0,0,0,0,0
20210408,1,3,0,0,0
20210411,0,6,0,0,0
20210413,1,5,0,0,0
20210415,3,0,0,0,0
20210418,2,4,0,0,0
20210420,9,0,0,0,0
20210422,1,1,0,0,0
20210425,4,3,0,0,0
20210427,3,3,0,0,0
20210429,3,5,0,0,0
20210502,0,6,0,0,0
20210504,5,2,0,0,0
20210506,1,2,0,0,0
20210509,2,4,0,0,0
20210511,1,4,0,0,0
20210513,4,1,0,0,0
20210516,8,4,0,0,0
20210518,0,3,0,0,0
20210520,5,2,0,0,0
20210523,1,1,0,0,0
20210525,10,2,0,0,0
20210527,0,0,0,0,0
20210530,7,8,0,0,0
20210601,0,0,0,0,0
20210603,2,3,0,0,0
20210606,4,6,0,0,0
20210608,2,3,0,0,0
20210610,8,3,0,0,0
20210613,4,2,0,0,0
20210615,6,1,0,0,0
20210617,7,9,0,0,0
20210620,4,1,0,0,0
20210622,0,1,0,0,0
20210624,6,2,0,0,0
20210627,1,0,0,0,0
20210629,1,1,0,0,0
20210701,10,0,0,0,0
20210704,4,1,0,0,0
20210706,4,5,0,0,0
20210708,5,4,0,0,0
20210711,0,6,0,0,0
20210713,7,0,0,0,0
20210715,4,1,0,0,0
20210718,7,6,0,0,0
20210720,2,1,0,0,0
20210722,3,1,0,0,0
20210725,1,4,0,0,0
20210727,6,2,0,0,0
20210729,6,2,0,0,0
20210801,5,0,0,0,0
20210803,5,1,0,0,0
20210805,3,4,0,0,0
20210808,1,9,0,0,0
20210810,3,0,0,0,0
20210812,0,3,0,0,0
20210815,0,3,0,0,0
20210817,7,7,0,0,0
20210819,4,2,0,0,0
20210822,0,5,0,0,0
20210824,6,0,0,0,0
20210826,1,3,0,0,0
20210829,0,2,0,0,0
20210831,7,2,0,0,0
20210902,2,1,0,0,0
20210905,1,7,0,0,0
20210907,8,2,0,0,0
20210909,1,2,0,0,0
20210912,8,4,0,0,0
20210914,7,8,0,0,0
20210916,6,0,0,0,0
20210919,1,1,0,0,0
20210921,5,8,0,0,0
20210923,0,3,0,0,0
20210926,7,4,0,0,0
20210928,3,5,0,0,0
20210930,2,3,0,0,0
20211005,5,2,0,0,0
20211007,1,2,0,0,0
20211010,0,1,0,0,0
20211012,1,2,0,0,0
20211014,9,0,0,0,0
20211017,3,1,0,0,0
20211019,1,6,0,0,0
20211021,3,0,0,0,0
20211024,4,3,0,0,0
20211026,3,3,0,0,0
20211028,6,2,0,0,0
20211031,5,3,0,0,0
20211102,1,2,0,0,0
20211104,0,2,0,0,0
20211107,0,3,0,0,0
20211109,3,4,0,0,0
20211111,8,7,0,0,0
20211114,7,6,0,0,0
20211116,3,0,0,0,0
20211118,5,4,0,0,0
20211121,2,5,0,0,0
20211123,1,4,0,0,0
20211125,0,3,0,0,0
20211128,1,4,0,0,0
20211130,2,1,0,0,0
20211202,1,3,0,0,0
20211205,1,1,0,0,0
20211207,2,4,0,0,0
20211209,6,1,0,0,0
20211212,2,3,0,0,0
20211214,7,2,0,0,0
20211216,2,7,0,0,0
20211219,2,3,0,0,0
20211221,2,3,0,0,0
20211223,3,0,0,0,0
20211226,1,0,0,0,0
20211228,4,2,0,0,0
20211230,9,4,0,0,0
20220102,8,8,0,0,0
20220104,5,0,0,0,0
20220106,8,5,0,0,0
20220109,2,7,0,0,0
20220111,0,4,0,0,0
20220113,0,10,0,0,0
20220116,2,2,0,0,0
20220118,1,9,0,0,0
20220120,2,1,0,0,0
20220123,5,0,0,0,0
20220125,0,3,0,0,0
20220127,3,4,0,0,0
20220208,6,5,0,0,0
20220210,2,3,0,0,0
20220213,0,0,0,0,0
20220215,1,2,0,0,0
20220217,2,10,0,0,0
20220220,0,2,0,0,0
20220222,8,7,0,0,0
20220224,2,2,0,0,0
20220227,9,0,0,0,0
20220301,3,10,0,0,0
20220303,0,3,0,0,0
20220306,2,2,0,0,0
20220308,2,2,0,0,0
20220310,1,5,0,0,0
20220313,0,1,0,0,0
20220315,1,2,0,0,0
20220317,2,3,0,0,0
20220320,3,4,0,0,0
20220322,5,3,0,0,0
20220324,2,2,0,0,0
20220327,3,5,0,0,0
20220329,0,0,0,0,0
20220331,9,3,0,0,0
20220403,4,10,0,0,0
20220405,0,0,0,0,0
20220407,1,0,0,0,0
20220410,9,1,0,0,0
20220412,0,0,0,0,0
20220414,2,5,0,0,0
20220417,2,4,0,0,0
20220419,0,5,0,0,0
20220421,1,2,0,0,0
20220424,3,3,0,0,0
20220426,0,0,0,0,0
20220428,2,6,0,0,0
20220501,0,0,0,0,0
20220503,1,1,0,0,0
20220505,1,8,0,0,0
20220508,0,0,0,0,0
20220510,0,2,0,0,0
20220512,0,0,0,0,0
20220515,1,0,0,0,0
20220517,2,1,0,0,0
20220519,6,1,0,0,0
20220522,5,10,0,0,0
20220524,9,5,0,0,0
20220526,6,2,0,0,0
20220529,0,3,0,0,0
20220531,3,8,0,0,0
20220602,3,1,0,0,0
20220605,9,1,0,0,0
20220607,0,0,0,0,0
20220609,1,3,0,0,0
20220612,10,4,0,0,0
20220614,3,5,0,0,0
20220616,2,2,0,0,0
20220619,3,2,0,0,0
20220621,1,1,0,0,0
20220623,1,1,0,0,0
20220626,1,2,0,0,0
20220628,1,4,0,0,0
20220630,7,0,0,0,0
20220703,3,3,0,0,0
20220705,3,4,0,0,0
20220707,0,4,0,0,0
20220710,1,9,0,0,0
20220712,1,1,0,0,0
20220714,8,9,0,0,0
20220717,2,2,0,0,0
20220719,2,1,0,0,0
20220721,2,1,0,0,0
20220724,2,1,0,0,0
20220726,2,0,0,0,0
20220728,2,4,0,0,0
20220731,2,1,0,0,0
20220802,1,3,0,0,0
20220804,1,2,0,0,0
20220807,1,1,0,0,0
20220809,7,2,0,0,0
20220811,0,3,0,0,0
20220814,0,10,0,0,0
20220816,7,8,0,0,0
20220818,0,5,0,0,0
20220821,1,2,0,0,0
20220823,4,5,0,0,0
20220825,10,7,0,0,0
20220828,6,5,0,0,0
20220830,0,3,0,0,0
20220901,4,0,0,0,0
20220904,1,4,0,0,0
20220906,9,0,0,0,0
20220908,1,3,0,0,0
20220911,0,0,0,0,0
20220913,0,0,0,0,0
20220915,9,2,0,0,0
20220918,6,0,0,0,0
20220920,3,5,0,0,0
20220922,2,2,0,0,0
20220925,4,1,0,0,0
20220927,4,0,0,0,0
20220929,1,1,0,0,0
20221006,7,2,0,0,0
20221009,2,0,0,0,0
20221011,1,8,0,0,0
20221013,3,5,0,0,0
20221016,0,1,0,0,0
20221018,5,1,0,0,0
20221020,2,1,0,0,0
20221023,0,2,0,0,0
20221025,2,1,0,0,0
20221027,0,0,0,0,0
20221030,2,3,0,0,0
20221101,4,0,0,0,0
20221103,3,10,0,0,0
20221106,7,2,0,0,0
20221108,1,0,0,0,0
20221110,2,2,0,0,0
20221113,2,2,0,0,0
20221115,1,4,0,0,0
20221117,0,4,0,0,0
20221120,2,7,0,0,0
20221122,3,8,0,0,0
20221124,1,4,0,0,0
20221127,3,2,0,0,0
20221129,1,2,0,0,0
20221201,1,8,0,0,0
20221204,8,3,0,0,0
20221206,7,9,0,0,0
20221208,6,0,0,0,0
20221211,4,1,0,0,0
20221213,3,0,0,0,0
20221215,0,0,0,0,0
20221218,0,2,0,0,0
20221220,9,6,0,0,0
20221222,4,1,0,0,0
20221225,0,9,0,0,0
20221227,0,9,0,0,0
20221229,4,2,0,0,0
20230101,0,5,0,0,0
20230103,0,4,0,0,0
20230105,3,3,0,0,0
20230108,4,9,0,0,0
20230110,3,0,0,0,0
20230112,6,6,0,0,0
